chr1	12056	12178	+
chr1	12226	12612	+
chr1	12696	12974	+
chr1	12720	13220	+
chr1	13051	13220	+
chr1	13373	13452	+
chr1	14500	15004	-
chr1	15037	15795	-
chr1	15946	16606	-
chr1	16764	16857	-
chr1	17054	17232	-
chr1	17367	17605	-
chr1	17741	17914	-
chr1	18060	18267	-
chr1	18365	24737	-
chr1	24890	29533	-
chr1	30038	30563	+
chr1	30666	30975	+
chr1	91628	92090	-
chr1	92239	112699	-
chr1	111356	112699	-
chr1	112803	120720	-
chr1	112803	120774	-
chr1	112803	129054	-
chr1	120931	129054	-
chr1	129222	133373	-
